feature,perm_importance_mean,perm_importance_std
deg-malig,0.023816355810616873,0.04033171840645991
breast-quad_right_low,0.022381635581061654,0.007179337734976638
tumor-size_40-44,0.0177905308464849,0.009881879688793425
irradiat_no,0.01721664275466277,0.013850810199308094
irradiat_yes,0.012912482065997022,0.017595075715071323
inv-nodes_3-5,0.01205164992826393,0.00450054150397648
age_30-39,0.011477761836441868,0.0024007461306573513
inv-nodes_9-11,0.010043041606886604,0.014433028797657758
tumor-size_35-39,0.008608321377331363,0.012800406326080612
tumor-size_30-34,0.005595408895265353,0.010986622507361064
node-caps_yes,0.00459110473457669,0.018157006622159407
tumor-size_10-14,0.004304160688665659,0.009645759721074065
node-caps_no,0.0037302725968435756,0.01652359259556722
age_60-69,0.003443328550932523,0.008308999848246896
inv-nodes_0-2,0.0022955523672883115,0.025546079040522213
breast-quad_central,0.0014347202295551752,0.007315666447048451
age_70-79,0.0008608321377330475,0.001721664275466317
tumor-size_5-9,0.0002869440459110528,0.0010736463089738918
inv-nodes_12-14,0.00028694404591103064,0.0010736463089738681
menopause_premeno,0.000143472022955482,0.0097455424377284
inv-nodes_24-26,0.0,0.0
tumor-size_0-4,0.0,0.0
tumor-size_45-49,0.0,0.0
menopause_ge40,-0.0002869440459110972,0.008236843669674226
tumor-size_50-54,-0.0014347202295552641,0.0
inv-nodes_15-17,-0.001721664275466317,0.004389399868229101
inv-nodes_6-8,-0.006312769010043096,0.006260379979704856
menopause_lt40,-0.0077474892395983375,0.009456101608771363
tumor-size_15-19,-0.009325681492109106,0.010145004034240292
age_40-49,-0.012051649928264064,0.009923452778072066
tumor-size_20-24,-0.0129124820659972,0.006790335475580602
age_50-59,-0.018077474892396063,0.014620073690510197
tumor-size_25-29,-0.023098995695839376,0.015036525115149387
breast-quad_left_low,-0.025251076040172248,0.011318842423710753
breast-quad_left_up,-0.02840746054519374,0.01316194541311876
breast_left,-0.030989956958393173,0.026401970996610496
breast_right,-0.031850789096126285,0.02503823168823357
breast-quad_right_up,-0.041606886657101924,0.012832527847918438
